14818524
| _1| count|
+---+------+
|  0|231627|
|  1|231526|
|  2|232088|
|  3|231828|
|  4|233187|
|  5|232380|
|  6|233668|
|  7|232706|
|  8|233285|
|  9|232400|
| 10|234170|
| 11|232681|
| 12|232712|
| 13|232326|
| 14|233544|
| 15|232781|
| 16|230211|
| 17|229453|
| 18|230759|
| 19|230081|
| 20|231219|
| 21|229755|
| 22|231787|
| 23|230407|
| 24|231586|
| 25|230044|
| 26|232558|
| 27|230651|
| 28|230518|
| 29|229475|
| 30|231437|
| 31|230256|
| 32|231404|
| 33|230801|
| 34|230787|
| 35|231312|
| 36|232808|
| 37|231499|
| 38|232211|
| 39|232034|
| 40|232777|
| 41|231390|
| 42|232584|
| 43|231880|
| 44|231597|
| 45|230709|
| 46|231351|
| 47|231373|
| 48|230496|
| 49|230119|
| 50|230799|
| 51|230594|
| 52|231700|
| 53|230617|
| 54|232023|
| 55|231116|
| 56|232118|
| 57|230957|
| 58|232845|
| 59|231411|
| 60|231032|
| 61|230370|
| 62|231706|
| 63|230998|
+---+------+
