12348770
+---+------+
| _1| count|
+---+------+
|  0|193062|
|  1|193161|
|  2|193023|
|  3|193305|
|  4|194453|
|  5|193728|
|  6|194980|
|  7|193809|
|  8|194301|
|  9|193341|
| 10|195071|
| 11|193857|
| 12|193679|
| 13|193272|
| 14|194128|
| 15|193731|
| 16|192162|
| 17|191245|
| 18|192473|
| 19|192085|
| 20|192561|
| 21|191618|
| 22|193009|
| 23|191880|
| 24|193110|
| 25|192080|
| 26|193838|
| 27|192624|
| 28|191979|
| 29|191562|
| 30|192373|
| 31|191768|
| 32|193260|
| 33|192530|
| 34|192444|
| 35|192968|
| 36|193653|
| 37|192762|
| 38|193631|
| 39|193163|
| 40|193462|
| 41|192753|
| 42|193798|
| 43|193107|
| 44|192983|
| 45|192316|
| 46|193036|
| 47|192741|
| 48|191840|
| 49|191289|
| 50|192075|
| 51|192211|
| 52|193128|
| 53|192768|
| 54|193080|
| 55|192334|
| 56|193417|
| 57|192275|
| 58|193953|
| 59|192735|
| 60|192877|
| 61|192385|
| 62|193545|
| 63|192983|
+---+------+
