"Query","Algorithm","Count","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","188705","2,42","0,55","0,01","1,60"
"Clique(3)","BinaryJoins","188705","1,96","0,00","0,00","0,00"
"Clique(4)","WCOJ","47824","5,25","1,66","0,00","3,35"
"Clique(4)","BinaryJoins","47824","3,75","0,00","0,00","0,00"
"Clique(5)","WCOJ","7064","8,57","2,71","0,00","5,53"
"Clique(5)","BinaryJoins","7064","3,17","0,00","0,00","0,00"
"Cycle(4)","WCOJ","3076324","6,21","3,22","0,11","2,55"
"Cycle(4)","BinaryJoins","3076324","4,01","0,00","0,00","0,00"
"Cycle(5)","WCOJ","6389425","12,23","7,90","0,23","3,57"
"Cycle(5)","BinaryJoins","6389425","10,37","0,00","0,00","0,00"
"Cycle(6)","WCOJ","11682732","29,59","23,83","0,43","4,45"
"Cycle(6)","BinaryJoins","11682732","26,44","0,00","0,00","0,00"
