"Query","Algorithm","Count","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","17389","0,88","0,04","0,00","0,29"
"Clique(3)","BinaryJoins","17389","1,03","0,00","0,00","0,00"
"Clique(4)","WCOJ","10109","0,91","0,08","0,00","0,28"
"Clique(4)","BinaryJoins","10109","0,80","0,00","0,00","0,00"
"Clique(5)","WCOJ","2723","0,94","0,08","-0,00","0,32"
"Clique(5)","BinaryJoins","2723","0,77","0,00","0,00","0,00"
"Cycle(4)","WCOJ","1665000","1,11","0,53","0,09","0,13"
"Cycle(4)","BinaryJoins","1665000","1,18","0,00","0,00","0,00"
"Cycle(5)","WCOJ","36550430","14,21","10,37","1,34","0,12"
"Cycle(5)","BinaryJoins","36550430","10,57","0,00","0,00","0,00"
"Cycle(6)","WCOJ","924084792","374,04","279,60","36,29","0,12"
"Cycle(6)","BinaryJoins","924084792","254,94","0,00","0,00","0,00"

# On only 30028 rows (the one that are integers)
