"Query","Algorithm","Count","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","717719","7,15","1,02","0,03","5,60"
"Clique(3)","BinaryJoins","717719","6,49","0,00","0,00","0,00"
"Clique(4)","WCOJ","304441","14,77","3,68","0,02","10,65"
"Clique(4)","BinaryJoins","304441","7,89","0,00","0,00","0,00"
"Clique(5)","WCOJ","67942","25,37","7,28","0,01","17,56"
"Clique(5)","BinaryJoins","67942","7,98","0,00","0,00","0,00"
"Cycle(4)","WCOJ","19816696","22,44","13,52","0,74","6,71"
"Cycle(4)","BinaryJoins","19816696","35,77","0,00","0,00","0,00"
"Cycle(5)","WCOJ","95667540","91,93","73,75","3,71","8,37"
"Cycle(5)","BinaryJoins","95667540","270,72","0,00","0,00","0,00"
"Cycle(6)","WCOJ","545144424","847,71","780,71","22,14","10,03"
