"Query","Algorithm","Count","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","188705","2,85","0,39","0,01","1,90"
"Clique(3)","BinaryJoins","188705","2,22","0,00","0,00","0,00"
"Clique(4)","WCOJ","47824","4,94","1,29","0,00","3,24"
"Clique(4)","BinaryJoins","47824","2,61","0,00","0,00","0,00"
"Clique(5)","WCOJ","7064","7,69","2,23","0,00","4,99"
"Clique(5)","BinaryJoins","7064","3,02","0,00","0,00","0,00"
"Cycle(4)","WCOJ","3076324","6,03","2,61","0,11","2,84"
"Cycle(4)","BinaryJoins","3076324","3,27","0,00","0,00","0,00"
"Cycle(5)","WCOJ","6389425","11,24","6,96","0,23","3,49"
"Cycle(5)","BinaryJoins","6389425","7,82","0,00","0,00","0,00"
"Cycle(6)","WCOJ","11682732","29,47","23,53","0,47","4,53"
"Cycle(6)","BinaryJoins","11682732","22,16","0,00","0,00","0,00"
