# Dataset: SNB 453030 /home/per/workspace/master-thesis/datasets/snb1
# Repetitions: 5
# Git commit: 7a5b98920de0579a93d0c7e30932531713888293
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,GraphWCOJ,000000540.225,2.24,0.55,0.02,1.21
3-clique,GraphWCOJ,000000540.225,1.35,0.55,0.02,0.59
3-clique,GraphWCOJ,000000540.225,1.14,0.48,0.02,0.48
3-clique,GraphWCOJ,000000540.225,1.16,0.48,0.02,0.50
3-clique,GraphWCOJ,000000540.225,1.21,0.49,0.02,0.50
5-clique,GraphWCOJ,000000040.137,3.90,3.24,0.00,0.51
5-clique,GraphWCOJ,000000040.137,4.06,3.43,0.00,0.51
5-clique,GraphWCOJ,000000040.137,3.88,3.29,0.00,0.48
5-clique,GraphWCOJ,000000040.137,3.94,3.29,0.00,0.53
5-clique,GraphWCOJ,000000040.137,4.08,3.46,0.00,0.50
# 3-clique average 0.51
# 5-clique average 3.34
