# Dataset: AmazonCoPurchase 1234877 /home/per/workspace/master-thesis/datasets/amazon-0302
# Repetitions: 5
# Git commit: 7a5b98920de0579a93d0c7e30932531713888293
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,GraphWCOJ,000000188.705,3.17,0.22,0.01,2.52
3-clique,GraphWCOJ,000000188.705,2.28,0.24,0.01,1.86
3-clique,GraphWCOJ,000000188.705,2.18,0.13,0.01,1.91
3-clique,GraphWCOJ,000000188.705,2.11,0.13,0.01,1.83
3-clique,GraphWCOJ,000000188.705,2.15,0.13,0.01,1.88
5-clique,GraphWCOJ,000000007.064,2.81,0.28,0.00,2.37
5-clique,GraphWCOJ,000000007.064,2.19,0.21,-0.00,1.82
5-clique,GraphWCOJ,000000007.064,2.19,0.22,-0.00,1.84
5-clique,GraphWCOJ,000000007.064,2.15,0.22,-0.00,1.81
5-clique,GraphWCOJ,000000007.064,2.16,0.21,-0.00,1.84
# 3-clique average 0.17
# 5-clique average 0.23
