# Dataset: SNB 453030 /home/per/workspace/master-thesis/datasets/snb1
# Repetitions: 5
# Git commit: 7a5b98920de0579a93d0c7e30932531713888293
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,GraphWCOJ,000000540.225,2.38,0.54,0.02,1.36
3-clique,GraphWCOJ,000000540.225,1.37,0.49,0.02,0.67
3-clique,GraphWCOJ,000000540.225,1.21,0.47,0.02,0.56
3-clique,GraphWCOJ,000000540.225,1.24,0.52,0.02,0.54
3-clique,GraphWCOJ,000000540.225,1.14,0.48,0.02,0.49
5-clique,GraphWCOJ,000000040.137,3.65,2.99,0.00,0.52
5-clique,GraphWCOJ,000000040.137,3.77,3.10,0.00,0.53
5-clique,GraphWCOJ,000000040.137,3.08,2.46,0.00,0.52
5-clique,GraphWCOJ,000000040.137,3.63,3.02,0.00,0.50
5-clique,GraphWCOJ,000000040.137,3.54,2.90,0.00,0.52
# 3-clique average 0.49
# 5-clique average 2.89
