# Dataset: SNB 453030 /home/per/workspace/master-thesis/datasets/snb1
# Repetitions: 5
# Git commit: 1686f80d9af1d7db37416f6185eb089c5bc95892
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,GraphWCOJ,000000540.225,2.15,0.52,0.03,1.16
3-clique,GraphWCOJ,000000540.225,1.42,0.46,0.02,0.76
3-clique,GraphWCOJ,000000540.225,1.04,0.39,0.02,0.48
3-clique,GraphWCOJ,000000540.225,1.06,0.40,0.02,0.49
3-clique,GraphWCOJ,000000540.225,1.06,0.44,0.02,0.46
5-clique,GraphWCOJ,000000040.137,2.64,2.03,0.00,0.47
5-clique,GraphWCOJ,000000040.137,2.59,1.99,0.00,0.49
5-clique,GraphWCOJ,000000040.137,2.55,1.99,0.00,0.46
5-clique,GraphWCOJ,000000040.137,2.75,2.16,0.00,0.46
5-clique,GraphWCOJ,000000040.137,2.55,1.99,0.00,0.45
# clique-3 average 0.44
# clique-5 average 2.03
